,Locality,Locality Latitude,Locality Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
95,Weissensee,52.5546193,13.4630018,Buddys Burger,52.552181003042435,13.465931767444637,Burger Joint
96,Weissensee,52.5546193,13.4630018,Schiller Burger,52.54979284508504,13.45784083195965,Burger Joint
97,Weissensee,52.5546193,13.4630018,Café Veit & Snackbar,52.55414581298828,13.466985702514648,Burger Joint
98,Französisch Buchholz,52.6105131,13.4281104,burger am hugo,52.61044986992017,13.418593815189851,Burger Joint
99,Niederschönhausen,52.5858062,13.401397,Let's Curry! & Burger,52.580912571644326,13.40198168162209,Burger Joint
100,Niederschönhausen,52.5858062,13.401397,Auszeit,52.58036817083508,13.400901859681134,Café
101,Niederschönhausen,52.5858062,13.401397,Westcoast Burger,52.58098725988967,13.401938686263902,Burger Joint
102,Charlottenburg,52.515747,13.3096834,TayPar Burger,52.512503,13.305458,Burger Joint
103,Charlottenburg,52.515747,13.3096834,Let the games begin,52.511451721191406,13.31204891204834,Casino
104,Charlottenburg,52.515747,13.3096834,Jim Block,52.507339,13.306714,Burger Joint
105,Charlottenburg,52.515747,13.3096834,Hüner Grill - Restaurant,52.511215,13.306085,Fried Chicken Joint
106,Charlottenburg,52.515747,13.3096834,Burger Center,52.510815,13.305266,Burger Joint
107,Charlottenburg,52.515747,13.3096834,Manhattan Burger,52.51308579535182,13.29711665247256,Burger Joint
108,Charlottenburg,52.515747,13.3096834,Burgers Berlin,52.507893442989605,13.30904111555452,Burger Joint
109,Wilmersdorf,52.4871152,13.3203298,West Burger,52.48686340440469,13.322549768532516,Burger Joint
110,Wilmersdorf,52.4871152,13.3203298,Bobsek Burger,52.486797012275915,13.323886164039473,Burger Joint
111,Wilmersdorf,52.4871152,13.3203298,SL West Burger,52.49339,13.323723,Burger Joint
112,Wilmersdorf,52.4871152,13.3203298,Bundes Burger,52.47935878793028,13.326625147827796,Burger Joint
113,Wilmersdorf,52.4871152,13.3203298,Burger Kult,52.49000806226576,13.31423624188569,Burger Joint
114,Schmargendorf,52.4789022,13.2929962,Flame Burger,52.48640060424805,13.302404403686523,Burger Joint
115,Westend,52.5133992,13.2558416,Westend-Grill,52.5161810901244,13.260636889970852,Burger Joint
116,Halensee,52.4972262,13.2929986,Al Bacio,52.493351,13.295876,Pizza Place
117,Halensee,52.4972262,13.2929986,Snap,52.499935,13.30695,Burger Joint
118,Schöneberg,52.482157,13.3551901,Werkstatt,52.481158,13.355491,Burger Joint
119,Schöneberg,52.482157,13.3551901,Burger Time,52.485121483155226,13.366397346928077,Burger Joint
120,Schöneberg,52.482157,13.3551901,Schiller Burger,52.486251710258415,13.355803493206462,Burger Joint
121,Schöneberg,52.482157,13.3551901,Mitburger,52.485157,13.353759,Burger Joint
122,Schöneberg,52.482157,13.3551901,Burgerbude,52.485004,13.35377,Burger Joint
123,Schöneberg,52.482157,13.3551901,Burger Zimmer VIII,52.489973,13.360223,Burger Joint
124,Friedenau,52.472075,13.3296424,Fame Burger,52.47047155572995,13.33427822835686,Burger Joint
125,Friedenau,52.472075,13.3296424,Balli Burger,52.469195,13.33243,Burger Joint
126,Friedenau,52.472075,13.3296424,Beef Fabrik,52.470556,13.320237,Burger Joint
127,Friedenau,52.472075,13.3296424,ONE DIO,52.477217335697766,13.32864758518383,Burger Joint
128,Friedenau,52.472075,13.3296424,Bundes Burger,52.47935878793028,13.326625147827796,Burger Joint
129,Tempelhof,52.4632921,13.3864477,Balli Burger,52.466211,13.385929,Burger Joint
130,Tempelhof,52.4632921,13.3864477,The Burger Bar,52.45485245559803,13.38494512251177,Burger Joint
131,Tempelhof,52.4632921,13.3864477,Burger am Feld,52.47112540950129,13.385107471549418,Burger Joint
132,Tempelhof,52.4632921,13.3864477,Zarus,52.457487,13.391601,Burger Joint
133,Tempelhof,52.4632921,13.3864477,Quick Burger,52.455982,13.384236,Burger Joint
134,Tempelhof,52.4632921,13.3864477,Burger Zentrum,52.456223,13.384489,Burger Joint
135,Mariendorf,52.44008,13.3900277,Burger Hero,52.438913,13.388711,Burger Joint
136,Mariendorf,52.44008,13.3900277,Burger Time,52.44852931179251,13.385026963785295,Burger Joint
